appid,bizid,id_hash,str_device_type,str_server_ip,stream_id,u32_conn_server_time,u32_network_type,u32_video_bitrate,u32_video_reso,u64_begin_time,update_time
1253216102,9180,1518606501,vivo X20A,113.105.155.168:1935,9180_970528,58,2,1200,35652544,1524241089382,2018-04-21 00:18:09
1253216102,9180,197545987,MP1701,1.189.213.28,9180_271274,198,1,1800,83886800,1524241129900,2018-04-21 00:18:50
1253216102,9180,1523146621,vivo Y51,112.17.5.48:1935,9180_932707,200,2,800,24117888,1524241236641,2018-04-21 00:20:37
1253216102,9180,969238849,MP1602,122.143.6.29:1935,9180_175112,19,1,1200,35652544,1524241260686,2018-04-21 00:21:02
1253216102,9180,1518600478,vivo X5Max+,121.51.22.123:1935,9180_970364,1122,1,1200,35652544,1524241264733,2018-04-21 00:21:07
1253216102,9180,1519930620,iPhone 7 (CDMA),218.11.11.172:1935,9180_971380,134,2,1200,35652544,1524241269426,2018-04-21 00:21:09
1253216102,9180,1519930621,"iPhone10,2",117.169.98.225:1935,9180_971381,39,1,0,35652544,1524241296275,2018-04-21 00:21:41
1253216102,9180,615262600,OPPO R11,123.125.46.151:1935,9180_914712,81,1,1200,35652544,1524241311202,2018-04-21 00:21:48
1253216102,9180,1491331902,iPhone 7 (CDMA),221.228.219.29:1935,9180_33461,109,1,1200,35652544,1524241319005,2018-04-21 00:21:59
1253216102,9180,317960723,MP1603,111.6.160.38:1935,9180_729677,67,1,1200,35652544,1524241329718,2018-04-21 00:22:21
1253216102,9180,1515888071,OPPO A59s,117.157.18.29:1935,9180_957143,382,1,1200,35652544,1524241342832,2018-04-21 00:22:23
1253216102,9180,1520019777,vivo Y66i A,121.51.40.111:1935,9180_971010,337,1,1200,35652544,1524241361430,2018-04-21 00:22:37
1253216102,9180,1523015514,M3s,183.2.192.168:1935,9180_931904,110,1,1200,35652544,1524241401002,2018-04-21 00:23:30
1253216102,9180,1520021689,vivo Xplay6,42.123.100.167:1935,9180_971266,211,2,800,24117888,1524241439717,2018-04-21 00:23:57
1253216102,9180,302972749,OPPO R9s,14.215.167.165:1935,9180_674774,22,1,1800,47187200,1524241482877,2018-04-21 00:25:03
1253216102,9180,1519168195,iPhone 6,157.255.128.40:1935,9180_948505,87,2,1200,35652544,1524241519398,2018-04-21 00:25:17
1253216102,9180,966282653,OPPO A79,222.84.158.146:1935,9180_217008,232,2,1200,35652544,1524241555766,2018-04-21 00:25:57
1253216102,9180,1537291672,OPPO A73t,123.125.46.37:1935,9180_820405,242,1,1200,35652544,1524241553535,2018-04-21 00:26:01
1253216102,9180,1525425460,vivo X6Plus A,14.204.144.168:1935,9180_969639,77,1,1200,35652544,1524241631123,2018-04-21 00:27:11
1253216102,9180,1519326750,vivo Y66L,223.111.243.159:1935,9180_962560,121,2,1200,35652544,1524241653045,2018-04-21 00:27:33
1253216102,9180,1518873444,vivo X9Plus,113.207.48.148:1935,9180_964529,132,1,1200,35652544,1524241689484,2018-04-21 00:28:09
1253216102,9180,1521449984,iPhone 6,218.75.176.89:1935,9180_940846,644,2,1200,35652544,1524241701114,2018-04-21 00:28:23
1253216102,9180,1518606241,vivo X9,112.47.9.29:1935,9180_970687,138,2,800,24117888,1524241761746,2018-04-21 00:29:21
1253216102,9180,1515766778,"iPhone10,2",111.47.228.29:1935,9180_942953,50,1,0,35652544,1524241781988,2018-04-21 00:29:47
1253216102,9180,1519930592,vivo X7,124.232.162.168:1935,9180_971384,135,1,1200,35652544,1524241789395,2018-04-21 00:29:50
1253216102,9180,1519930622,m1 note,182.150.11.34:1935,9180_971382,215,1,1200,35652544,1524241792859,2018-04-21 00:29:58
1253216102,9180,1519930593,iPhone 6s Plus,157.255.128.37:1935,9180_971385,150,1,1200,35652544,1524241825495,2018-04-21 00:30:25
1253216102,9180,1518872410,NX563J,218.75.176.88:1935,9180_964422,100,1,1200,35652544,1524241836170,2018-04-21 00:30:36
1253216102,9180,617101300,iPhone 6 Plus,150.138.184.38:1935,9180_835541,129,1,1500,35652544,1524241846275,2018-04-21 00:30:46
